val_loss,val_accuracy,loss,accuracy
0.37977708324342907,0.8332700133323669,0.6483809298722861,0.7856058
0.31952936486105843,0.8617546558380127,0.44185684170281075,0.8764717
0.3347596792702977,0.8579567074775696,0.39759464466861566,0.8894797
0.2547332288911711,0.9020128846168518,0.3851691779305262,0.89270794
0.30715287539880176,0.8723888993263245,0.35163545877907243,0.90400684
0.2549414354678211,0.9004937410354614,0.33862569285263094,0.9083745
0.24393890039734273,0.901253342628479,0.3145075537578443,0.91435623
0.2731328929416861,0.885301947593689,0.29676172661319505,0.9163502
0.28308261297091397,0.8837827444076538,0.2769359256258674,0.92290163
0.24753375291015048,0.9096088409423828,0.26503832680709094,0.92461073
0.24501051574356875,0.9027724862098694,0.24532172091777815,0.9307824
0.3017960788687055,0.8818838000297546,0.22395771798460917,0.9399924
0.27950702729874405,0.8864413499832153,0.20422461669095515,0.9419863
0.25647644719418083,0.8993543386459351,0.18292699684061753,0.94834787
0.28994537707725226,0.8917584419250488,0.1686464366246619,0.953665
